Number,Theme,Subtheme,Year,RRP (USD),Value new (USD)
6008-1,Castle,Royal Knights,1995,3.0,71.1
6036-1,Castle,Royal Knights,1995,8.0,83.8
6044-1,Castle,Royal Knights,1995,16.5,271.62
6078-1,Castle,Royal Knights,1995,30.0,403.9
6090-1,Castle,Royal Knights,1995,95.0,2104.42
6115-1,Aquazone,Aquasharks,1995,3.5,29.7
6125-1,Aquazone,Aquanauts,1995,4.0,33.97
6155-1,Aquazone,Aquasharks,1995,22.0,120.0
6175-1,Aquazone,Aquanauts,1995,33.0,220.44
6195-1,Aquazone,Aquanauts,1995,89.0,370.07
6254-1,Pirates,,1995,15.0,155.0
6263-1,Pirates,Imperial Guards,1995,27.5,400.95
6279-1,Pirates,,1995,53.0,439.64
6336-1,Town,Launch Command,1995,16.5,90.37
6338-1,Town,Coastguard,1995,49.5,299.0
6339-1,Town,Launch Command,1995,66.0,673.49
6414-1,Town,Paradisa,1995,33.0,449.0
6484-1,Town,Rescue,1995,49.5,271.35
6516-1,Town,Launch Command,1995,3.0,23.51
6525-1,Town,Fire,1995,4.5,35.94
6535-1,Town,Construction,1995,4.5,31.15
6544-1,Town,Launch Command,1995,38.5,334.24
6562-1,Town,Shops and Services,1995,24.5,114.09
6596-1,Town,Boats,1995,12.0,76.05
6614-1,Town,Launch Command,1995,9.25,67.86
6639-1,Town,Racing,1995,7.25,17.4
6649-1,Town,Maintenance,1995,6.75,55.0
8210-1,Technic,,1995,20.0,58.16
8235-1,Technic,,1995,30.0,91.28
8280-1,Technic,,1995,55.0,144.89
8412-1,Technic,,1995,29.75,72.72
8422-1,Technic,,1995,33.0,134.88
8440-1,Technic,,1995,54.0,82.76
8460-1,Technic,,1995,99.0,227.38
8485-1,Technic,,1995,219.0,774.56
9171-1,Dacta,,1995,38.5,59.95
9616-1,Dacta,Technic,1995,15.0,36.56
9660-1,Dacta,Duplo,1995,69.0,93.68
9891-1,Dacta,,1995,25.0,5.38
9938-1,Dacta,,1995,6.25,8.0
10278-1,Creator Expert,Modular Buildings Collection,2021,199.99,173.67
10279-1,Creator Expert,Vehicles,2021,179.99,177.25
10280-1,Creator Expert,Botanical Collection,2021,49.99,52.98
10281-1,Creator Expert,Botanical Collection,2021,49.99,48.99
